Title,Author full names,Year,Source title,DOI,Publisher
The digital twin on a residential housing in the Czech Republic on the BIM platform and its importance for the circular economy,"Jašek, Marek (59905061800); Kubečková, Darja (55566665300)",2025,Structures,10.1016/j.istruc.2025.109180,Elsevier Ltd
Circularity assessment across construction project phases with Building Information Modelling,"Jiang, Li (57658683100); van den Berg, Marc (57195406672); Voordijk, Hans (6602399451); Adriaanse, Arjen (35092143400)",2025,Developments in the Built Environment,10.1016/j.dibe.2025.100663,Elsevier Ltd
A blockchain-based supply chain framework for advancing circular economy in the construction industry,"Mankata, Lawrence Martin (57218544871); Antwi-Afari, Prince (57205203073); Ng, S. Thomas (57330075700)",2025,Journal of Cleaner Production,10.1016/j.jclepro.2025.145966,Elsevier Ltd
Data carriers for circular construction supply chains: An exploratory quantitative analysis,"Byers, Brandon S. (57931282900); Stengele, Kaspar (59486879000); De Wolf, Catherine (57189463041)",2025,Journal of Cleaner Production,10.1016/j.jclepro.2025.145053,Elsevier Ltd
Documenting Ancient Materials for a Digital Materials Library Project. The Case of Three World Heritage Sites in Algeria,"Allaouchiche, Sara (59727266300); Kacher, Sabrina (14625239300); Sanz-Arauz, David (56968197800)",2025,International Journal of Architectural Heritage,10.1080/15583058.2025.2495960,Taylor and Francis Ltd.
Augmenting materials passports to support disassembly planning based on building information modelling standards,"Sanchez, Benjamin (57200699857); Honic, Meliha (57195241850); Leite, Fernanda (23097703400); Herthogs, Pieter (56205626800); Stouffs, Rudi (6506322664)",2024,Journal of Building Engineering,10.1016/j.jobe.2024.109083,Elsevier Ltd
Development of a 3D Digital Model of End-of-Service-Life Buildings for Improved Demolition Waste Management through Automated Demolition Waste Audit,"Omer, Muhammad (57209220242); Wang, Yong C. (10040890000); Quintana Roma, Mikel (59234670100); Bedrich, Stanislav (59234294200); Nežerka, Václav (55697865600); Ferriz-Papi, Juan (59234407300); Moros Montanes, Jesus J. (59234294300); Diez Ortiz, Ines (59234480700)",2024,Environments - MDPI,10.3390/environments11070138,Multidisciplinary Digital Publishing Institute (MDPI)
Material Passport for Modular Construction,"Yilmaz, Gokcen (56028635200); Hutton, Chloe (59540196300); Valsaladas, Vishnu (59539371200); Donovan, Chloe (59539371300); Zvirgzda, Krista (59540196400); Charlson, Andrea (51561148400); Heaton, Rachel (59539705100); Suc, Christa (59539705200); Ahmed-Kristensen, Saeema (58570337100)",2024,IET Conference Proceedings,10.1049/icp.2024.3501,Institution of Engineering and Technology
Estimating the Circularity of Building Elements using Building Information Modelling,"Gbenga John, O. (59217149600); Forth, K. (57211216901); Theißen, S. (57217931126); Borrmann, A. (14824718700)",2024,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1363/1/012043,Institute of Physics
From Material Cadastres to a Materiality Informed City Information Modelling,"Schiller, G. (12788191600); Gruhler, K. (9639924700); Zhang, N. (57209796656); Blum, A. (55439643100)",2024,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1363/1/012084,Institute of Physics
Modelling Precast Concrete for a Circular Economy in the Built Environment: Level of Information Need guidelines for digital design and collaboration,"Dervishaj, Arlind (56536944900); Fonsati, Arianna (57203287238); Vargas, José Hernández (58035175600); Gudmundsson, Kjartan (29067789600)",2023,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,,Education and research in Computer Aided Architectural Design in Europe
DRIVING CIRCULARITY WITH TOTAL BIM: AN INTEGRATED APPROACH TO DATA-DRIVEN DESIGN,"Disney, Oliver (57322165700); Roupé, Mattias (10041142400); Johansson, Mikael (57211528948)",2023,"Proceedings of the 39th Annual ARCOM Conference: Constructing for the Future, ARCOM 2023",,Association of Researchers in Construction Management
ENABLING REUSE OF PREFABRICATED CONCRETE COMPONENTS THROUGH MULTIPLE TRACKING TECHNOLOGIES AND DIGITAL TWINS,"Dervishaj, Arlind (56536944900); Vargas, José Hernández (58035175600); Gudmundsson, Kjartan (29067789600)",2023,Proceedings of the European Conference on Computing in Construction,10.35490/EC3.2023.220,European Council on Computing in Construction (EC3)
Digitalised circular construction supply chain: An integrated BIM-Blockchain solution,"Elghaish, Faris (57208000956); Hosseini, M. Reza (57193617746); Kocaturk, Tuba (36182774700); Arashpour, Mehrdad (55520813200); Bararzadeh Ledari, Masoomeh (57221272178)",2023,Automation in Construction,10.1016/j.autcon.2023.104746,Elsevier B.V.
CONJUGATED MATERIALITY: Reinstating Material Circularity via Digital Twins,"Garg, Nipun (59196964400); Huang, Sheng-Yang (58611956500)",2023,Proceedings of the International Conference on Computer-Aided Architectural Design Research in Asia,10.52842/conf.caadria.2023.1.705,The Association for Computer-Aided Architectural Design Research in Asia
RFID-based traceability system for constructional steel reuse,"Hradil, P. (55493413600); Jaakkola, K. (6602656012); Tuominen, K. (58919205600)",2023,"Life-Cycle of Structures and Infrastructure Systems - Proceedings of the 8th International Symposium on Life-Cycle Civil Engineering, IALCCE 2023",10.1201/9781003323020-159,CRC Press/Balkema
Exploring the Potential of iPad-LiDAR Technology for Building Renovation Diagnosis: A Case Study,"Mêda, Pedro (55295552000); Calvetti, Diego (57219401335); Sousa, Hipólito (56152725700)",2023,Buildings,10.3390/buildings13020456,MDPI
A Danish model of building macro-components to promote circularity,"Francart, N. (57200300261); Gummidi, S.R.B. (57208779486); Hoxha, E. (55936638500); Birgisdottir, H. (14324521100)",2023,Journal of Physics: Conference Series,10.1088/1742-6596/2600/19/192001,Institute of Physics
Bridging the gap - A database tool for BIM-based circularity assessment,"Göswein, V. (57200001559); Carvalho, S. (58327293500); Lorena, A. (36615362400); Fernandes, J. (57200806104); Ferrão, P. (6603743982)",2022,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1078/1/012099,Institute of Physics
Circular Economy and Construction Supply Chains,"Incorvaja, Dan (58153574200); Celik, Yasin (57337783700); Petri, Ioan (36617625400); Rana, Omer (7003659610)",2022,"Proceedings - 2022 IEEE/ACM 9th International Conference on Big Data Computing, Applications and Technologies, BDCAT 2022",10.1109/BDCAT56447.2022.00019,Institute of Electrical and Electronics Engineers Inc.
Incorporating BIM Practices into Reuse Process of Timber: Propositions of a digital workflow and tool for reclaiming structural pieces of wood,"Lebosse, Maxence (57925983800); Halin, Gilles (6508171387); Besanfon, Franck (57925983900); Fuchs, Alain (57925530400)",2022,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,,Education and research in Computer Aided Architectural Design in Europe
Smart building demolition and waste management frame with image-to-BIM,"Hu, Xingyi (57212620346); Zhou, Yin (57213434454); Vanhullebusch, Simon (57430975500); Mestdagh, Robbe (57431376500); Cui, Zhongyu (57431775200); Li, Jiabin (57214680261)",2022,Journal of Building Engineering,10.1016/j.jobe.2022.104058,Elsevier Ltd
Digitizing material passport for sustainable construction projects using BIM,"Atta, Islam (57492375000); Bakhoum, Emad S. (55845161500); Marzouk, Mohamed M. (7005098184)",2021,Journal of Building Engineering,10.1016/j.jobe.2021.103233,Elsevier Ltd
Uses of building information modelling for overcoming barriers to a circular economy,"Charef, Rabia (57202070229); Emmitt, Stephen (6506090821)",2021,Journal of Cleaner Production,10.1016/j.jclepro.2020.124854,Elsevier Ltd
An ICT-enabled Product Service System for Reuse of Building Components,"Ness, D. (7003380184); Xing, K. (14009206800); Kim, K. (57190962762); Jenkins, A. (57197325654)",2019,IFAC-PapersOnLine,10.1016/j.ifacol.2019.11.207,Elsevier B.V.
A generic process of documentation and data management for historical Malay architecture using bim,"Mustafa, Muhammad Hadi (57203885735); Ali, Maisarah (57115742100); Hashim, Khairusy Syakirin HasYun (56958023300); Suhaimi, Mohamad Saifulnizam Mohd (57200259394)",2020,Planning Malaysia,10.21837/pm.v18i12.744,Malaysian Institute Of Planners
Leveraging BIM for digital built environment asset management,"Re Cecconi, Fulvio (57219603975); Maltese, Sebastiano (56205934800); Dejaco, Mario Claudio (56394428600)",2017,Innovative Infrastructure Solutions,10.1007/s41062-017-0061-z,Springer
