Title,Author full names,Year,Source title,DOI,Publisher
Modeling interior component stocks of UK housing using exterior features and machine learning techniques,"Dai, Menglin (57212503765); Jurszyk, Jakub (59944775200); Gillott, Charles (57778461000); Sun, Kun (57411580600); Lanau, Maud (57210592670); Liu, Gang (57201565364); Densley Tingley, Danielle (55293435700)",2025,Journal of Industrial Ecology,10.1111/jiec.70048,John Wiley and Sons Inc
Autonomous building material stock estimation using 3D modeling and multilayer perceptron,"Li, Qingxiang (57204721739); Zhao, Benyun (57841435400); Wang, Xinyi (57226729759); Yang, Guidong (57841140600); Chang, Yuyang (57969351900); Chen, Xi (59382941700); Chen, Ben M. (7408611448)",2025,Sustainable Cities and Society,10.1016/j.scs.2025.106522,Elsevier Ltd
An integrated approach for thermal conductivity prediction of grotto sandstone using virtual sample generation and machine learning with limited nondestructive testing data,"Hu, Jinshuai (58705542100); Cheng, Yuan (57199041044); Li, Zheng (59643626200); Zhang, Yue (35147463400); Yan, Hongbin (57696549200); Huang, Jizhong (57209469538)",2025,Measurement: Journal of the International Measurement Confederation,10.1016/j.measurement.2025.118248,Elsevier B.V.
Ensemble learning based sustainable approach to rebuilding metal structures prediction,"Vlasenko, Tetiana (59000799100); Hutsol, Taras (57202648004); Vlasovets, Vitaliy (6507019627); Glowacki, Szymon (35975950600); Nurek, Tomasz (56644877200); Horetska, Iryna (57452121100); Kukharets, Savelii (57193883092); Firman, Yuriy (57452271200); Bilovod, Olexandra (58729589600)",2025,Scientific Reports,10.1038/s41598-024-84996-8,Nature Research
Automated heritage building component recognition and modelling based on local features,"Pang, Bo (57226365595); Yang, Jian (57966098200); Xia, Tian (59319699000); Zhang, Anshan (59881846600); Zhang, Kai (56378480500); Xu, Qingfeng (59488830200); Wang, Feiliang (55954333600)",2025,Journal of Cultural Heritage,10.1016/j.culher.2024.12.006,Elsevier Masson s.r.l.
Component-Level Residential Building Material Stock Characterization Using Computer Vision Techniques,"Dai, Menglin (57212503765); Jurczyk, Jakub (58929552000); Arbabi, Hadi (57196236268); Mao, Ruichang (57191074364); Ward, Wil (55904364600); Mayfield, Martin (56430668700); Liu, Gang (57201565364); Tingley, Danielle Densley (55293435700)",2024,Environmental Science and Technology,10.1021/acs.est.3c09207,American Chemical Society
An innovative approach for the semantic segmentation of surveyed building facades leveraging on architectural drawings,"Trivi, M.B. (58924077600); Mazzacca, G. (57489024400); Griffo, M. (57203267527); Malek, S. (59280574100); Battisti, R. (55405232700); Remondino, F. (6507122674); Bianchini, C. (36940808300); Chiavoni, E. (55420873600)",2024,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",10.5194/isprs-Archives-XLVIII-2-W4-2024-445-2024,International Society for Photogrammetry and Remote Sensing
A Reconstruction of the Shrine of the Prophet Nahum: An Analysis of 3D Documentation Methods and Data Transfer Technology for Virtual and Augmented Realities,"Pavelka, Karel (56540956600); Běloch, Lukáš (58484630600)",2025,Applied Sciences (Switzerland),10.3390/app15021000,Multidisciplinary Digital Publishing Institute (MDPI)
Weakly Supervised SVM-Enhanced SAM Pipeline for Stone-by-Stone Segmentation of the Masonry of the Loire Valley Castles,"Lucho, Stuardo (57196344889); Treuillet, Sylvie (8707307800); Desquesnes, Xavier (36801209600); Leconge, Remy (6505923752); Brunetaud, Xavier (20336838200)",2024,Journal of Imaging,10.3390/jimaging10060148,Multidisciplinary Digital Publishing Institute (MDPI)
Split wooden rods for novel wood-based boards in the construction sector,"Burgert, Ingo (6603780187); Kegel, Sebastian (57358671500); Schnider, Thomas (57188547942); Achatz, Julia (58810762400); Stucki, Sandro (57188747294); Schubert, Mark (26025340100)",2024,RILEM Technical Letters,10.21809/rilemtechlett.2024.193,RILEM Publications SARL
How to Valorize Construction and Demolition Wastes? Beyond the State of the art Through Vision Systems and Artificial Intelligence Tools,"Cosoli, Gloria (56786271100); Salerno, Giovanni (58846247500); Calcagni, Maria Teresa (58027874900); Pandarese, Giuseppe (25723753900); Violini, Luca (57210821552); El Masri, Evelyne (57193996078); De Melo Ribeiro, Henrique (57426033900); Abbas, Mohmmad Ali Asgar (59259412800); Revel, Gian Marco (55551950400)",2024,"2024 IEEE International Workshop on Metrology for Living Environment, MetroLivEnv 2024 - Proceedings",10.1109/MetroLivEnv60384.2024.10615834,Institute of Electrical and Electronics Engineers Inc.
EQUIRECTANGULAR 360°IMAGE DATASET FOR DETECTING REUSABLE CONSTRUCTION COMPONENTS,"Laranjo, Ana Bendiek (59319091700); Hunhevicz, Jens J. (57217925661); Menzel, Karsten (56220558000); De Wolf, Catherine (57189463041)",2024,Proceedings of the European Conference on Computing in Construction,10.35490/EC3.2024.266,European Council on Computing in Construction (EC3)
Accessing Hidden Material Flows in the Swiss Built Environment: A Parametric Predictive Model for Building Systems' Components Reuse Estimation,"Xiong, S. (59185334200); Escamilla, E.Z. (54880540600); Habert, G. (8391064400)",2024,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1363/1/012049,Institute of Physics
Recovery of historic real estate: Life Cycle Costing and economic feasibility,"Calabrò, Francesco (55988892300); Minniti, Giovanna E. (59544272700); Fotia, Antonino (57191895403); Pucinotti, Raffaele (12794077600)",2024,Procedia Structural Integrity,10.1016/j.prostr.2024.09.181,Elsevier B.V.
Quantification of Moisture in Masonry via AI-Evaluated Broadband Radar Reflectometry,"Frenzel, Daniel (58514515400); Blaschke, Oliver (58295917700); Franzen, Christoph (7006859380); Brand, Felix (57226437345); Haas, Franziska (57201736673); Troi, Alexandra (55318841500); Drese, Klaus Stefan (6603400943)",2023,Heritage,10.3390/heritage6070266,Multidisciplinary Digital Publishing Institute (MDPI)
UNCOVERING THE CIRCULAR POTENTIAL: ESTIMATING MATERIAL FLOWS FOR BUILDING SYSTEMS COMPONENTS REUSE IN THE SWISS BUILT ENVIRONMENT,"Xiong, Shuyan (59185334200); Escamilla, Edwin Zea (54880540600); Habert, Guillaume (8391064400)",2024,Proceedings of the International Conference on Computer-Aided Architectural Design Research in Asia,,The Association for Computer-Aided Architectural Design Research in Asia
EEI-NET: EDGE-ENHANCED INTERPOLATION NETWORK FOR SEMANTIC SEGMENTATION OF HISTORICAL BUILDING POINT CLOUDS,"Xue, Yaqian (58838709500); Zhang, Ruiju (56164017600); Wang, Jian (57208161128); Zhao, Jianghong (35197611500); Pang, Lei (55431203400)",2023,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",10.5194/isprs-annals-X-1-W1-2023-239-2023,Copernicus Publications
