Title,Author full names,Year,Source title,DOI,Publisher
Semi-automatic classification of digital heritage on the Aïoli open source 2D/3D annotation platform via machine learning and deep learning,"Croce, Valeria (57204642906); Manuel, Adeline (57198168106); Caroti, Gabriella (35316853200); Piemonte, Andrea (35389579400); De Luca, Livio (8297282700); Véron, Philippe (7004130381)",2023,Journal of Cultural Heritage,10.1016/j.culher.2023.05.017,Elsevier Masson s.r.l.
Automatic Classification of Ancient Building Components Based on PointNet++,"Hu, Chunmei (56286854500); Zhang, Yunhui (58177375400); Xia, Guofang (57202046543); Liu, Xi (57416267800); Ma, Xinjian (57742575700)",2022,"Proceedings - 2022 International Conference on Artificial Intelligence, Information Processing and Cloud Computing, AIIPCC 2022",10.1109/AIIPCC57291.2022.00029,Institute of Electrical and Electronics Engineers Inc.
Application of Deep Learning Techniques for Thermal Imagery Analysis in Abnormal Identification of Floor Tiles in Heritage Environments,"Yu, Chen-Xin (57212611742); Chen, Wu-Pei (58769088500); Ju, Chin-Yen (58768960300); Chen, Tsung-Yi (57219438018); Li, Kuo-Chen (36602832100); Chen, Chiung-An (23388264100); Chan, Mei-Ling (58032097900); Chen, Shih-Lun (7410255239)",2023,"2023 Asia Pacific Signal and Information Processing Association Annual Summit and Conference, APSIPA ASC 2023",10.1109/APSIPAASC58517.2023.10317400,Institute of Electrical and Electronics Engineers Inc.
Artificial intelligence-based automatic visual inspection system for built heritage,"Mansuri, Lukman E. (57212571689); Patel, D.A. (55755999400)",2022,Smart and Sustainable Built Environment,10.1108/SASBE-09-2020-0139,Emerald Publishing
Building Change Detection Based on a Gray-Level Co-Occurrence Matrix and Artificial Neural Networks,"Christaki, Marianna (57202505998); Vasilakos, Christos (55223107200); Papadopoulou, Ermioni-Eirini (57214571352); Tataris, Georgios (36651784500); Siarkos, Ilias (36601562400); Soulakellis, Nikolaos (6602660916)",2022,Drones,10.3390/drones6120414,Multidisciplinary Digital Publishing Institute (MDPI)
Terrestrial laser scanning and satellite data in cultural heritage building documentation,"Karagianni, A. (57190073847)",2021,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",10.5194/isprs-archives-XLVI-M-1-2021-361-2021,International Society for Photogrammetry and Remote Sensing
An innovative image processing-based framework for the numerical modelling of cracked masonry structures,"Loverdos, Dimitrios (57222084468); Sarhosis, Vasilis (56005560400); Adamopoulos, Efstathios (57190337168); Drougkas, Anastasios (57200366836)",2021,Automation in Construction,10.1016/j.autcon.2021.103633,Elsevier B.V.
Material (data) intelligence: Towards a circular building environment,"Garcia, Anna Batalle (57223042310); Cebeci, Irem Yagmur (57223037598); Calvo, Roberto Vargas (57223052623); Gordon, Matthew (57223035035)",2021,"Projections - Proceedings of the 26th International Conference of the Association for Computer-Aided Architectural Design Research in Asia, CAADRIA 2021",,The Association for Computer-Aided Architectural Design Research in Asia (CAADRIA)
A probabilistic performance evaluation for buildings and constructed assets,"Bortolini, Rafaela (57192435911); Forcada, Núria (23090858300)",2020,Building Research and Information,10.1080/09613218.2019.1704208,Routledge
Investigating Surface Fractures and Materials Behavior of Cultural Heritage Buildings Based on the Attribute Information of Point Clouds Stored in the TLS Dataset,"Alkadri, Miktha Farid (57195296334); Alam, Syaiful (57446847800); Santosa, Herry (57212109827); Yudono, Adipandang (57204221943); Beselly, Sebrian Mirdeklis (57222510507)",2022,Remote Sensing,10.3390/rs14020410,MDPI
Deep neural networks for quantitative damage evaluation of building losses using aerial oblique images: Case study on the great wall (china),"Gong, Yiping (57212709136); Zhang, Fan (55613230864); Jia, Xiangyang (13905127100); Huang, Xianfeng (55545672000); Li, Deren (57212271839); Mao, Zhu (57222271932)",2021,Remote Sensing,10.3390/rs13071321,MDPI AG
Implementing a HBIM approach to manage the translocation of heritage buildings,"Heesom, David (56450921700); Boden, Paul (57216856192); Hatfield, Anthony (55203343300); De Los Santos Melo, Aneuris (57220089581); Czarska-Chukwurah, Farida (57220084790)",2021,"Engineering, Construction and Architectural Management",10.1108/ECAM-06-2020-0405,Emerald Group Holdings Ltd.
Between images and built form: Automating the recognition of standardised building components using deep learning,"Pezzica, C. (57196037951); Schroeter, J. (59775614100); Prizeman, O.E. (55327353100); Jones, C.B. (56642043500); Rosin, P.L. (7004945120)",2019,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",10.5194/isprs-annals-IV-2-W6-123-2019,Copernicus GmbH
Coupling Point Cloud Completion and Surface Connectivity Relation Inference for 3D Modeling of Indoor Building Environments,"Xiao, Yong (56430225600); Taguchi, Yuichi (36752896200); Kamat, Vineet R. (7004477339)",2018,Journal of Computing in Civil Engineering,10.1061/(ASCE)CP.1943-5487.0000776,American Society of Civil Engineers (ASCE)
Image-based automated 3D crack detection for post-disaster building assessment,"Torok, Matthew M. (55805976100); Golparvar-Fard, Mani (34868104300); Kochersberger, Kevin B. (22951346500)",2014,Journal of Computing in Civil Engineering,10.1061/(ASCE)CP.1943-5487.0000334,American Society of Civil Engineers (ASCE)
A preliminary investigation into automated identification of structural steel without a priori knowledge,"Yeung, J. (36674080200); Nahangi, M. (56028105900); Walbridge, S. (23020235400); Haas, C.T. (7202620442)",2014,"31st International Symposium on Automation and Robotics in Construction and Mining, ISARC 2014 - Proceedings",,University of Technology Sydney
