Title,Author full names,Year,Source title,DOI,Publisher
A Contactless Multi-Modal Sensing Approach for Material Assessment and Recovery in Building Deconstruction,"Cabral, Sophia (59529962100); Klimenka, Mikita (58101803000); Bademosi, Fopefoluwa (57202742349); Lau, Damon (57205738135); Pender, Stefanie (59528955200); Villaggi, Lorenzo (57202430882); Stoddart, James (57191995294); Donnelly, James (59529680500); Storey, Peter (59474810100); Benjamin, David (56297162000)",2025,Sustainability (Switzerland),10.3390/su17020585,Multidisciplinary Digital Publishing Institute (MDPI)
"Using digital modelling for the partial reconstruction of Sheikh Al-Arab Hammam citadel, situated in Farshout, Qena, Egypt","Mohamed, Essam H. (59889608400)",2025,Research on Engineering Structures and Materials,10.17515/resm2025-609st0110rs,MIM RESEARCH GROUP
Historical Arch Bridges-Deterioration and Restoration Techniques,"Azar, Amin Bagherzadeh (58540070700); Sari, Ali (56890650700)",2023,Civil Engineering Journal (Iran),10.28991/CEJ-2023-09-07-010,Salehan Institute of Higher Education
ZeroWaste - Towards Computing Cooperative Robotic Sequences for the Disassembly and Reuse of Timber Frame Structures,"Bruun, Edvard P.G. (56654386000); Besler, Erin (56453391600); Adriaenssens, Sigrid (25521292500); Parascho, Stefana (56826026400)",2023,"Hybrids and Haecceities - Proceedings of the 42nd Annual Conference of the Association for Computer Aided Design in Architecture, ACADIA 2022",,ACADIA
Image-based 3D modeling as a damage prioritization tool for historic buildings in post-disaster areas: The case of the 2020 Beirut blast,"Kallas, Joe (58365217600); Napolitano, Rebecca (57194621055)",2023,Journal of Cultural Heritage,10.1016/j.culher.2023.06.007,Elsevier Masson s.r.l.
"A multi-scalar approach for the study of ancient architecture: Structure for Motion, laser scanning and direct survey of the Roman theatre of Nora (Cagliari, Sardinia)","Previato, Caterina (57205751228); Monego, Michele (57193119196); Menin, Andrea (24481881700); Achilli, Vladimiro (6603827951)",2022,Journal of Archaeological Science: Reports,10.1016/j.jasrep.2022.103440,Elsevier Ltd
ScanR: A composite building scanning and survey method for the evaluation of materials and reuse potentials prior to demolition and deconstruction,"Heisel, F. (56301502100); McGranahan, J. (57324732200); Boghossian, A. (57912624600)",2022,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1078/1/012012,Institute of Physics
Photogrammetric survey of vernacular farm buildings for preserving the cultural heritage of rural landscapes,"Picuno, Pietro (6507844931)",2021,Public Recreation and Landscape Protection - With Sense Hand in Hand! Conference Proceedings,,Mendel University in Brno
A comparative analysis of quantification and validation methods for prospecting the anthropogenic mine as material reserve for circular construction,"Jawanrudi, Damun (57367153000); McGranahan, Joseph (57324732200); Heisel, Felix (56301502100)",2021,Journal of Physics: Conference Series,10.1088/1742-6596/2042/1/012169,IOP Publishing Ltd
Investigating Pompeii: Application of 3D geomatic techniques for the study of the Sarno Baths,"Monego, Michele (57193119196); Previato, Caterina (57205751228); Bernardi, Leonardo (57205754263); Menin, Andrea (24481881700); Achilli, Vladimiro (6603827951)",2019,Journal of Archaeological Science: Reports,10.1016/j.jasrep.2019.02.009,Elsevier Ltd
A multidisciplinary approach for historic buildings diagnosis: The case study of the kaisariani monastery,"Delegou, Ekaterini T. (6507861124); Mourgi, Georgia (57328501100); Tsilimantou, Elisavet (57191404107); Ioannidis, Charalabos (22134864100); Moropoulou, Antonia (7005901969)",2019,Heritage,10.3390/heritage2020079,MDPI
Uav photogrammetry for resilience management in reconstruction plan of urban historical centres after seismic events. A Case Study,"Alicandro, M. (56081247000); Rotilio, M. (35213811800)",2019,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",10.5194/isprs-Archives-XLII-2-W11-55-2019,Copernicus GmbH
"Architectural survey and analysis of the costal tower of S. Maria dell'Alto in Nardò (Lecce, Italy).","Gabellone, Francesco (35218814100); Ferrari, Ivan (56080795200); Giuri, Alessandro (57215183704); Giuri, Francesco (57190031073)",2019,"2019 IMEKO TC4 International Conference on Metrology for Archaeology and Cultural Heritage, MetroArchaeo 2019",,IMEKO-International Measurement Federation Secretariat
Documenting a complex modern heritage building using multi image close range photogrammetry and 3D laser scanned point clouds,"Baptista, Maria Lucia Vianna (56540949900)",2013,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",,International Society for Photogrammetry and Remote Sensing
Image-based 3D modeling vs laser scanning for the analysis of medieval architecture: The case of St. Croce church in Bergamo,"Cardaci, A. (56080901600); Versaci, A. (56081106700)",2013,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",10.5194/isprsarchives-xl-5-w2-155-2013,International Society for Photogrammetry and Remote Sensing
DIGITAL 3D Borobodur: Integration of 3d surveying and modeling techniques,"Suwardhi, Deni (53870569100); Menna, Fabio (35976590400); Remondino, Fabio (6507122674); Hanke, Klaus (36800214700); Akmalia, Rizka (56204213700)",2015,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",10.5194/isprsarchives-XL-5-W7-417-2015,International Society for Photogrammetry and Remote Sensing
Recording earthen architecture at the peruvian andes: The case of kuño tambo church's historic wall paintings,"Percy, K. (56541205600); Hanley, C. (57205536417); Santana Quintero, M. (56539484400); Fai, S. (54079611600); Ouimet, C. (56541243900); Cancino, C. (37050508900); Rainer, L. (57200448551); Villacorta-Santamato, L. (57205536266)",2013,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",10.5194/isprsannals-II-5-W1-235-2013,Copernicus GmbH
"3D laser scanning technology-based historic building mapping for historic preservation: A case study of Shang Shu Di in Fujian Province, China","Zhang, Yuanyi (35209207000); Zhang, Ying (59647295800); Shen, Zhenjiang (55219953800); Nishino, Tatsuya (36446371900); Chen, Xiaojuan (57191841644)",2015,International Review for Spatial Planning and Sustainable Development,10.14246/irspsd.3.2_53,SPSD Press
A case study of the use of GPR for rehabilitation of a classified Art Deco building: The InovaDomus house,"Barraca, Nuno (56399386900); Almeida, Miguel (59835465200); Varum, Humberto (23135674700); Almeida, Fernando (55953372100); Matias, Manuel Senos (6506463596)",2016,Journal of Applied Geophysics,10.1016/j.jappgeo.2016.02.002,Elsevier
"Digital photogrammetry, GPR and computational analysis of structural damages in a mediaeval bridge","Arias, P. (56217320100); Armesto, J. (23484454300); Di-Capua, D. (23975544600); González-Drigo, R. (16642934700); Lorenzo, H. (6603882725); Pérez-Gracia, V. (23493745300)",2007,Engineering Failure Analysis,10.1016/j.engfailanal.2007.02.001,Elsevier BV
